100004,Vinos y Espumosos,GUILLEN,3404 TINTO CRIANZA 75CL ,12.404959,15.01,L,1.0,1.0,1.0,0.0,1.0,10.0
100007,OTROS,AMAZON,SERVILLETERO ARO,0.0,0.0,UD,6.0,1.0,1.0,0.0,1.0,0.0
100048,FRUTAS Y VERDURAS,BIOKO,APIO VERDE (MANOJO),3.7190082,4.5,KG,1.0,1.0,1.0,0.0,1.0,10.0
100077,OTROS,JOSPER,"JOSPER BANDEJA GN 1/1 ALTURA 6,5 CM",0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100078,OTROS,JOSPER,"JOSPER BANDEJA  GN 1/2 ALTURA 6,5 CM",0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100079,OTROS,JOSPER,JOSPER BANDEJA  GN 1/3 ALTURA 2 CM,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100080,OTROS,CBB HOSTELERÍA,"BANDEJA MING II ""BIZANCIO"" 30X15X2CM 18U/C",0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100085,Cervezas,COM. TABARCA,BARRIL HEINEKEN 50L (GRATIS 0 €),0.0,0.0,BA,1.0,1.0,1.0,0.0,1.0,0.0
100122,"Cafés, Infusiones y Derivados Cafetería",CAFES TAVIRA,CAFÉ TAVIRA DESCAFEINADO PREMIUM EXPRESSO 1KG,14.0,14.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100123,"Cafés, Infusiones y Derivados Cafetería",CAFES TAVIRA,CAFÉ TAVIRA PREMIUM QUALITY EXPRESSO 1KG,16.0,16.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100140,CARNES,GARRIGOS,CARPACCIO PRESA IBERICA CONGELADO 70 GR,5.0,5.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100145,PESCADOS Y MARISCOS,GRUPO OSBORNE,CAVIAR RIOFRIO RUSSIAN STYLE LATA 15G,20.0,20.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100146,PESCADOS Y MARISCOS,GRUPO OSBORNE,CAVIAR RIOFRIO RUSSIAN STYLE LATA 50G,61.0,61.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100154,OTROS,JOSPER,CEPILLO RASPADOR ALUMINIO 50 CM,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100157,Cervezas,COM. TABARCA,CERVEZA 18/70 LA RUBIA BNR 12*33 CL (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100159,Cervezas,COM. TABARCA,CERVEZA AMSTEL E/R 1/3 (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100161,Cervezas,COM. TABARCA,CERVEZA CRUZCAMPO SIN GLUTEN BNR 33cl*12 (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100167,Cervezas,COM. TABARCA,CERVEZA EL ALCAZAR BNR CAJA 12*33 CL (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100170,Cervezas,COM. TABARCA,"CERVEZA HEINEKEN 0,0% E/R 1/3 (GRATIS 0 €)",0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100172,Cervezas,COM. TABARCA,CERVEZA HEINEKEN E/R LONG NECK 1/3 (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100174,Cervezas,COM. TABARCA,CERVEZA PAULANER H.WEISSBIER TRIGO 1/2 (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100176,Cervezas,COM. TABARCA,CERVEZA SOL NR 1/3 (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100178,Cervezas,COM. TABARCA,CERVEZA-TEQUILA DESPERADOS 33cl (GRATIS 0 €),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100199,PRODUCTOS DE LIMPIEZA,HIBECA,CLICHÉ 2 TINTAS,40.0,40.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100200,CERVEZAS,DIONISIO ACIDO CARBONICO,ACIDO CARBONICO CO2 10 KG BAJA ,2.0,20.0,UD,10.0,1.0,1.0,0.0,1.0,0.0
100218,OTROS,CBB HOSTELERÍA,COPA TABOO 44 CL 6 U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100219,OTROS,CBB HOSTELERÍA,COPA TABOO 58 CL 6 U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100229,OTROS,CBB HOSTELERÍA,CUCHARA CAFE 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100230,OTROS,CBB HOSTELERÍA,CUCHARA MESA 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100231,OTROS,CBB HOSTELERÍA,CUCHARA MOKA 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100232,OTROS,CBB HOSTELERÍA,CUCHARA POSTRE 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100235,OTROS,CBB HOSTELERÍA,CUCHILLO CHULETERO 98 ALISAS 18/0 - 2.5 MM 12 U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100240,OTROS,CBB HOSTELERÍA,CUCHILLO MESA 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100248,Vinos y Espumosos,TABARCA SELECCIÓN,CAVA V.POMAL BRUT Rva 75cl,12.0,12.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100252,OTROS,AMAZON,DESHIDRATADORA,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100255,OTROS,HIBECA,PAPEL MECHA CONTR DISPENSADOR ,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100256,OTROS,HIBECA,PAPEL HIGIÉNICO DISPENSADOR ,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100257,OTROS,HIBECA,PAPEL MECHA POLICARB DISPENSADOR ,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100262,OTROS,HIBECA,JABON LIQUIDO DOSIFICADOR ,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100275,OTROS,COM. TABARCA,ENVASE BARRIL DAVID 20L,20.0,20.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100280,OTROS,COM. TABARCA,ENVASE COMPLETO MAXIMUM 1/2L*20,11.0,11.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100304,OTROS,CARTAS RESTAURANTE,EXPOSITOR QR REF. OZ GASTROCLUB,14.0,14.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100318,FRUTAS Y VERDURAS,BIOKO,FRUTA DE LA PASION,17.0,17.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100332,Ginebras,TABARCA SELECCIÓN,GIN BOMBAY BRAMBLE 70cl (GRATIS 0 €),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100343,Ginebras,TABARCA SELECCIÓN,GIN LARIOS ROSE 70cl (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100345,Ginebras,TABARCA SELECCIÓN,GIN NORDES 70cl (GRATIS 0 €),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100350,Ginebras,TABARCA SELECCIÓN,GIN SEAGRAM'S 70cl (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100399,QUESOS Y EMBUTIDOS,GMA,JAMÓN IBÉRICO DE CEBO,14.0,14.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100404,OTROS,LA TIENDA DEL BARMAN,JIGGER JAPONES 15-25/50 ML INOX,8.0,8.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100431,Licores General,TABARCA SELECCIÓN,LICOR RON MALIBU 70CL,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100522,CARNES,MAKRO,MOLLEJAS DE CORDERO,15.0,15.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100526,CONGELADO,POSTRES PRAVIT,"MORRALLA XKG (3,5)",4.0,4.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100527,Licores General,TABARCA SELECCIÓN,LICOR DE CHOCOLATE MOZART ,0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100586,CARNES,GARRIGOS,PLUMA BELLOTA 100% ARROZ,25.0,25.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100619,Whiskies,TABARCA SELECCIÓN,RED LABEL (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100634,Rones,TABARCA SELECCIÓN,RON BRUGAL AÑEJO 70cl (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100644,Rones,TABARCA SELECCIÓN,RON MALIBU COCO CARIBEAM RUM 70cl,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100658,OTROS,JORDÁ,SACO CARBON MARABU,14.0,14.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100671,BEBIDAS,COM. TABARCA,SCHWEPPES TONICA E/R 200ML*28  (GRATIS 0€),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100676,OTROS,COM. TABARCA,CORTE JAMÓN,70.0,70.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100687,CARNES,GARRIGOS,SOLOMILLO BELLOTA 100% CONGELADA COVAP (1 PIEZA) (GRATIS 0 €),0.0,0.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100688,OTROS,LA TIENDA DEL BARMAN,SOPLETE,29.0,29.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100689,OTROS,CBB HOSTELERÍA,SOPORTE ACACIA 18X18X10CM 3U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100709,OTROS,CBB HOSTELERÍA,TENEDOR MESA 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100710,OTROS,CBB HOSTELERÍA,TENEDOR PESCADO 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100713,Licores General,TABARCA SELECCIÓN,TEQUILA PATRON AÑEJO - 70CL,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100714,Licores General,TABARCA SELECCIÓN,TEQUILA PATRON REPOSADO - 70CL,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100717,Licores General,TABARCA SELECCIÓN,TERRY,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100720,FRUTAS Y VERDURAS,BIOKO,TIRABEQUES,14.0,14.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
