Codigo_Plato;Nombre_Plato;Nombre_Ingredinte;Codigo_Ingrediente;Porciones
21;Ensaladilla Rusa;Patata Agria Especial (Saco 25Kg);100563;400
21;Ensaladilla Rusa;Zanahoria;100139;100
21;Ensaladilla Rusa;Maiz Dulce Bl 400G;100448;80
21;Ensaladilla Rusa;Langostino Cocido 40/60 Xkg (2);100410;30
21;Ensaladilla Rusa;Ventresca Atun Claromakro Chef 500Gne;100479;300
21;Ensaladilla Rusa;Pimiento rojo;100575;90
21;Ensaladilla Rusa;Huevos Docena;100259;1
21;Ensaladilla Rusa;Mayonesa Cubo 5L Hellmann'S;100386;30
21;Ensaladilla Rusa;Sal Fina Bolsa Makro Chef  5Kg;100473;5
21;Ensaladilla Rusa;Pan Molde;100553;2
18;Ensalada Oz;Remolacha Rallada Mc Fr 180Gne;100622;20
18;Ensalada Oz;Lechuga Cogollo (Bja 3 Ud);100417;1
18;Ensalada Oz;Cebolla morada;100150;20
18;Ensalada Oz;Zanahoria;100139;20
18;Ensalada Oz;Rabano (manojo);100617;20
18;Ensalada Oz;Tomate Cherry Rama;100723;35
18;Ensalada Oz;Huevo Codorniz Estuche 18Ud Dagu;100249;2
18;Ensalada Oz;Makro Chef Guindilla Piparra Extra 700Gne;100894;20
18;Ensalada Oz;Aceituna Rellena De Anchoa Latamakro Chef  600Gne;100453;20
18;Ensalada Oz;Maiz Dulce Bl 400G;100448;15
18;Ensalada Oz;salsa albahaca;100972;10
18;Ensalada Oz;Pepinillos En Vinagre Makro Chef  850G;100466;10
18;Ensalada Oz;Ventresca Atun Claromakro Chef 500Gne;100479;20
13;Burrata Oz;Tomate raff;100727;250
13;Burrata Oz;Cebolla Tierna Garba;100152;30
13;Burrata Oz;Rucula (500 Gr);100656;20
13;Burrata Oz;Burratina 2*125Gr;100118;1
13;Burrata Oz;Helado Tomate Con Albahaca;100385;35
13;Burrata Oz;salsa albahaca;100972;10
557;1/2 Caña Lomo 5Js;Lomo Caña Bellota 100% Iberico Vacio 5J;100437;80
557;1/2 Caña Lomo 5Js;Tomate Frito 3,5Kg;100725;80
557;1/2 Caña Lomo 5Js;Tomate Natural Pelado Aro 2700Gne;100726;20
14;Carpaccio;Carpaccio Presa Iberica Congelado 70 Gr;100140;70
14;Carpaccio;Cebolla Tierna Garba;100152;20
14;Carpaccio;Alcaparras Frasco Makro Chef 1200G;100455;20
14;Carpaccio;Rucula (500 Gr);100656;20
14;Carpaccio;Queso Parmigiano Regg. 24M 4Kg Cavola;101054;20
